Legislative District,White Alone 2010,Black or African American Alone 2010,Asian Alone 2010
01,108239,2426,15785
02,110085,4987,5768
03,116887,3756,3436
04,126031,1273,2366
05,116500,1567,10306
06,121721,2681,3479
07,121820,647,1143
08,113603,2047,4323
09,111742,1745,4901
10,119541,2004,4275
11,71456,15773,30275
12,107156,467,990
13,108807,1344,1640
14,101108,1410,1792
15,81973,1047,1011
16,99538,1966,1484
17,114836,3088,6967
18,122591,1255,5725
19,119320,1196,2303
20,123839,772,1202
21,97656,5213,19384
22,111921,4016,8589
23,111882,3350,8193
24,120267,1058,1920
25,106168,6047,8050
26,118577,3038,4438
27,93814,13627,10136
28,98047,11895,9357
29,78163,17608,12565
30,86079,10944,16655
31,117744,2072,4177
32,96732,7011,19614
33,76183,15672,18059
34,96382,8523,14499
35,119040,2032,3220
36,114573,3725,9529
37,54545,31408,36167
38,105267,4140,8138
39,120439,1414,2704
40,117134,1303,3807
41,95315,2559,30936
42,115238,1195,4798
43,107212,4961,15187
44,112605,2308,11220
45,108934,1660,17449
46,104001,5446,16449
47,90810,9587,19594
48,91704,2784,32355
49,113137,3995,4707
